Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
"7.954.545.857.431.670,00","5.682.861.321.615.580,00","7.009.188.142.792.230,00","44.078,00","23.086.800.502.686.400,00","10.590.335.578.701.200,00","208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
"7.924.864.245.482.560,00","60.028.998.082.752.400,00","6.730.821.019.094.910,00","44.077,00","4.017.307.217.364.480,00","150.589.091.484.695,00","188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
"61.287.067.178.656.700,00","5.865.889.840.310.000,00","8.512.727.430.375.090,00",5.13,"3.688.215.939.970.450,00","10.589.879.878.760.800,00","9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
"6.334.524.004.622.790,00","71.882.360.945.186.400,00","5.586.728.664.827.650,00",3.26,"3.431.024.283.090.700,00","12.606.168.066.294.400,00","USS Barnett
FPO AP 44820"
"59.982.197.225.708.000,00","5.040.554.523.106.280,00","7.839.387.785.120.480,00",4.23,"26.354.109.472.103.100,00","6.309.434.893.385.400,00","USNS Raymond
FPO AE 09386"
"801.757.541.594.853,00","49.884.077.575.337.100,00","6.104.512.439.428.870,00","43.925,00","26.748.428.424.689.700,00","10.681.380.743.935.300,00","06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
"6.469.846.342.788.770,00","6.025.335.906.887.150,00","8.147.759.585.023.430,00",3.41,"6.082.824.908.540.710,00","15.020.558.173.744.000,00","4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
"7.839.433.927.753.080,00","69.897.797.477.182.800,00","6.620.477.995.185.020,00",2.42,"36.516.358.972.493.800,00","15.739.365.644.777.200,00","972 Joyce Viaduct
Lake William, TN 17778-6483"
"5.992.766.081.334.960,00","536.212.556.960.358,00","63.931.209.805.509.000,00","43.892,00","2.938.739.600.281.580,00","7.988.695.328.331.630,00","USS Gilbert
FPO AA 20957"
"8.188.592.718.409.560,00","4.423.671.789.897.870,00","8.167.688.003.472.350,00","43.836,00","4.014.996.574.921.330,00","15.451.548.126.419.600,00","Unit 9446 Box 0958
DPO AE 97025"
"8.052.747.208.292.280,00","809.351.268.063.935,00","5.042.746.799.645.980,00","43.834,00","4.722.435.984.022.190,00","1.707.045.722.158.050,00","6368 John Motorway Suite 700
Janetbury, NM 26854"
"5.059.369.549.704.280,00","4.496.512.793.097.030,00","7.467.627.404.008.010,00",4.49,"34.343.991.885.578.800,00","6.637.323.968.963.270,00","911 Castillo Park Apt. 717
Davisborough, PW 78603"
"39.033.809.236.982.300,00","7.671.755.372.854.420,00","7.250.029.317.273.490,00","43.833,00","3.922.036.146.737.240,00","10.428.140.978.200.900,00","209 Natasha Stream Suite 961
Huffmanland, NE 52457"
"731.636.634.410.467,00","6.919.534.825.456.550,00","59.931.879.009.455.600,00",2.27,"32.326.123.139.488.000,00","12.913.315.184.858.200,00","829 Welch Track Apt. 992
North John, AR 26532-5136"
"693.913.801.843.616,00","5.344.776.176.735.720,00","8.406.417.714.534.250,00",4.37,"35.521.294.033.173.200,00","14.028.182.101.658.500,00","PSC 5330, Box 4420
APO AP 08302"
"7.309.186.674.582.320,00","5.443.156.466.535.470,00","8.517.512.711.137.970,00","43.834,00","23.929.524.053.267.900,00","13.066.746.599.511.900,00","2278 Shannon View
North Carriemouth, NM 84617"
"7.970.696.305.765.740,00","5.067.889.591.058.970,00","8.219.771.123.286.250,00","44.168,00","3.971.781.357.630.950,00","15.567.866.001.947.700,00","064 Hayley Unions
Nicholsborough, HI 44161-1887"
"6.192.907.701.808.920,00","4.788.550.241.805.880,00","50.970.095.543.775.600,00","43.894,00","2.459.590.149.782.290,00","5.284.852.467.305.960,00","5498 Rachel Locks
New Gregoryshire, PW 54755"
"6.350.819.429.942.990,00","5.947.165.139.552.470,00","7.187.773.835.329.720,00","44.170,00","35.719.653.052.030.800,00","10.194.259.367.578.300,00","Unit 7424 Box 2786
DPO AE 71255"
"6.208.527.640.340.480,00","5.739.410.843.630.570,00","709.180.810.424.997,00",5.49,"44.922.106.702.293.000,00","10.305.914.292.116.000,00","19696 Benjamin Cape
Stephentown, ME 36952-4733"
"8.629.499.908.871.050,00","6.627.456.939.781.730,00","8.011.897.853.150.560,00","44.016,00","4.756.077.533.629.520,00","2.146.925.339.888.660,00","030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
"6.083.508.997.885.390,00","5.551.221.591.990.320,00","6.517.175.038.094.770,00","43.832,00","4.557.474.166.225.790,00","9.292.475.995.364,00","USNS Brown
FPO AP 85833"
"6.449.065.026.675.500,00","4.210.322.870.054.840,00","5.478.087.730.769.140,00",4.31,"4.035.896.010.561.750,00","7.188.872.315.009.270,00","95198 Ortiz Key
Port Sara, TN 24541-2855"
"6.069.735.153.944.830,00","61.704.840.908.384.900,00","7.150.536.572.335.950,00",6.34,"2.814.096.708.772.470,00","7.439.998.191.601.970,00","9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
"5.974.885.548.697.420,00","53.393.398.807.459,00","77.486.816.056.065.900,00",4.23,"27.809.986.543.758.800,00","8.957.371.333.835.070,00","24282 Paul Valley
West Perry, MI 03169-5806"
"5.697.447.653.879.640,00","8.287.562.193.759.000,00","73.128.799.714.630.000,00",4.33,"4.069.486.951.302.230,00","14.539.745.059.508.700,00","61938 Brady Falls
Lewisfort, DE 61227"
"8.217.362.607.584.600,00","4.018.524.684.942.810,00","6.992.698.756.791.840,00","43.892,00","3.885.391.806.648.160,00","1.125.692.507.295.280,00","3599 Ramirez Springs
Jacksonhaven, AZ 72798"
"6.462.688.097.813.540,00","5.443.359.590.192.100,00","698.875.353.866.204,00",4.0,"27.784.742.280.185.800,00","9.754.294.927.929.220,00","073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
"904.990.574.513.475,00","63.843.589.207.152.000,00","4.242.191.301.572.630,00","43.924,00","3.397.016.499.037.120,00","1.240.763.765.571.470,00","6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
"5.932.379.209.970.030,00","69.778.279.401.788.300,00","8.273.697.077.776.590,00","44.016,00","3.752.065.773.244.970,00","15.770.177.600.015.500,00","17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
